Age,Gender,Stream,Internships,CGPA,HistoryOfBacklogs,PlacedOrNot,CodingSkills,Aptitude Skills,TechnicalSkills,Communication Skills
22,Male,Electronics And Communication,1,8,1,1,85,85,90,30
21,Female,Computer Science,0,7,1,1,89,90,85,35
22,Female,Information Technology,1,6,0,1,80,85,90,45
21,Male,Information Technology,0,8,1,1,95,90,90,20
22,Male,Mechanical,0,8,0,1,95,85,80,75
22,Male,Electronics And Communication,0,6,0,0,90,75,80,78
21,Male,Computer Science,0,7,1,0,70,79,80,78
21,Male,Information Technology,1,7,0,0,50,65,70,75
21,Male,Computer Science,2,6,0,1,60,75,74,60
21,Female,Computer Science,1,6,0,0,90,91,85,71
22,Male,Computer Science,1,7,0,0,70,82,69,85
22,Female,Electrical,1,8,1,1,94,97,91,93
21,Female,Computer Science,2,6,1,0,55,89,65,80
21,Male,Computer Science,1,8,1,1,88,90,80,86
21,Female,Electronics And Communication,2,8,0,1,45,72,72,68
22,Male,Mechanical,0,8,0,1,49,70,65,55
22,Female,Computer Science,1,7,0,0,51,74,60,55
21,Male,Civil,0,6,0,0,65,70,60,55
21,Male,Computer Science,1,7,0,0,85,70,65,60
22,Male,Computer Science,1,7,0,0,40,70,70,70
22,Male,Civil,0,8,0,1,90,60,65,40
21,Male,Computer Science,1,6,0,0,55,40,60,45
22,Male,Civil,0,7,0,0,60,55,45,47
22,Male,Electronics And Communication,1,7,1,0,78,80,87,74
22,Male,Electronics And Communication,0,7,0,0,84,82,80,77
21,Male,Electrical,0,8,0,1,74,78,82,86
22,Male,Electrical,1,8,0,1,58,80,78,70
22,Male,Information Technology,1,8,0,1,52,39,47,48
22,Male,Information Technology,1,8,0,1,67,64,62,60
21,Male,Information Technology,0,6,0,1,47,42,46,47
22,Male,Mechanical,1,8,0,1,63,64,62,67
21,Male,Electrical,1,7,0,1,53,54,52,59
21,Female,Civil,1,7,0,0,52,56,54,56
21,Male,Electrical,0,7,0,0,80,80,74,89
21,Male,Computer Science,1,6,0,1,74,78,79,80
21,Male,Information Technology,1,6,0,0,58,54,54,57
22,Male,Civil,0,7,0,1,64,68,65,64
22,Male,Computer Science,1,8,0,1,74,75,76,74
22,Male,Information Technology,1,6,0,0,20,24,30,74
22,Male,Electronics And Communication,0,8,1,1,25,20,40,40
22,Male,Electrical,1,6,1,0,25,26,27,60
22,Male,Civil,0,8,0,1,24,26,31,76
